maintenance_id,machine_id,timestamp,maintenance_type,duration_min
WO001008,M22A,2026-01-05 16:59:00,inspection,63.7
WO001009,M27A,2026-08-29 00:39:00,PM,13.7
WO001010,M09A,2026-08-27 17:14:00,corrective,45.2
WO001011,M14A,2026-01-10 16:50:00,corrective,32.7
WO001012,M01A,2026-04-12 21:03:00,inspection,94.7
WO001013,M24A,2026-05-26 03:48:00,PM,43.8
WO001014,M13A,2026-06-27 17:30:00,PM,21.6
WO001015,M19B,2026-05-19 10:38:00,calibration,45.8
WO001016,M12B,2026-05-13 00:05:00,corrective,204.8
WO001017,M05B,2026-02-17 00:39:00,corrective,39.7
WO001018,M27A,2026-05-07 06:45:00,PM,44.8
WO001019,M18B,2026-06-01 10:18:00,PM,106.1
WO001020,M21A,2026-02-04 08:34:00,inspection,33.1
WO001021,M24A,2026-06-24 23:58:00,PM,86.8
WO001022,M09A,2026-01-24 19:42:00,corrective,136.0
WO001023,M07B,2026-01-24 04:33:00,PM,33.8
WO001024,M02B,2026-08-09 21:12:00,calibration,61.0
WO001025,M21B,2026-05-28 01:26:00,calibration,49.5
WO001026,M11A,2026-04-20 09:41:00,PM,107.9
WO001027,M22B,2026-09-03 13:59:00,PM,29.6
WO001028,M27B,2026-09-08 15:41:00,corrective,16.6
WO001029,M17A,2026-10-08 17:49:00,PM,28.0
WO001030,M09A,2026-04-05 18:24:00,PM,105.8
WO001031,M27A,2026-03-29 16:59:00,PM,36.9
WO001032,M02B,2026-03-28 05:11:00,PM,52.9
WO001033,M10A,2026-08-20 13:23:00,PM,71.9
WO001034,M08A,2026-08-11 21:31:00,corrective,48.8
WO001035,M10B,2026-03-03 01:33:00,corrective,113.1
WO001036,M19B,2026-08-20 21:53:00,corrective,46.9
WO001037,M27A,2026-02-08 02:24:00,calibration,16.7
WO001038,M01A,2026-07-18 04:01:00,inspection,19.6
WO001039,M24A,2026-01-20 03:32:00,corrective,12.8
WO001040,M17A,2026-01-20 01:20:00,PM,41.2
WO001041,M15B,2026-01-24 05:32:00,inspection,23.8
WO001042,M10A,2026-09-17 18:37:00,calibration,28.6
WO001043,M20B,2026-10-26 21:04:00,inspection,78.7
WO001044,M25B,2026-05-31 10:57:00,PM,35.9
WO001045,M06A,2026-09-22 11:58:00,inspection,63.8
WO001046,M03B,2026-02-27 17:51:00,PM,54.6
WO001047,M17A,2026-10-15 14:58:00,inspection,22.0
WO001048,M08A,2026-08-18 22:43:00,calibration,47.9
WO001049,M09A,2026-10-05 21:12:00,PM,101.4
WO001050,M04A,2026-06-06 13:06:00,corrective,50.3
WO001051,M15A,2026-01-04 13:35:00,PM,50.9
WO001052,M18B,2026-09-05 12:13:00,PM,108.3
WO001053,M25A,2026-02-01 03:09:00,PM,98.2
WO001054,M22A,2026-09-13 14:15:00,calibration,7.5
WO001055,M05A,2026-10-23 05:44:00,inspection,31.2
WO001056,M18A,2026-08-15 02:27:00,corrective,23.4
WO001057,M25B,2026-06-11 13:12:00,corrective,39.5
WO001058,M21B,2026-04-17 10:26:00,PM,23.3
WO001059,M14A,2026-06-03 20:42:00,corrective,39.8
WO001060,M02B,2026-10-17 02:41:00,PM,13.1
WO001061,M12B,2026-01-12 05:03:00,PM,30.8
WO001062,M15B,2026-05-20 12:54:00,PM,29.8
WO001063,M05A,2026-01-12 16:59:00,PM,115.0
WO001064,M26A,2026-07-19 18:26:00,inspection,12.1
WO001065,M06A,2026-04-21 16:40:00,PM,107.4
WO001066,M03B,2026-01-26 06:12:00,corrective,27.9
WO001067,M23B,2026-06-18 23:27:00,calibration,135.7
WO001068,M07B,2026-06-05 16:08:00,PM,115.4
WO001069,M13A,2026-05-23 04:49:00,PM,40.8
WO001070,M12A,2026-02-12 05:13:00,PM,70.4
WO001071,M08B,2026-01-18 20:54:00,PM,65.6
WO001072,M02B,2026-09-28 00:42:00,corrective,71.4
WO001073,M01A,2026-03-25 20:03:00,PM,95.3
WO001074,M19A,2026-10-20 19:14:00,PM,129.7
WO001075,M21A,2026-08-11 08:45:00,corrective,119.3
WO001076,M06B,2026-01-15 17:28:00,corrective,73.8
WO001077,M15B,2026-03-19 19:24:00,PM,19.8
WO001078,M13A,2026-09-16 16:10:00,corrective,41.3
WO001079,M17A,2026-02-01 18:10:00,calibration,78.5
WO001080,M17A,2026-06-25 02:36:00,PM,161.3
WO001081,M24B,2026-08-20 04:18:00,inspection,61.3
WO001082,M13A,2026-01-15 04:10:00,PM,56.4
WO001083,M17A,2026-04-01 13:25:00,inspection,36.7
WO001084,M18A,2026-04-08 13:49:00,corrective,21.4
WO001085,M02A,2026-01-18 04:32:00,PM,24.3
WO001086,M13A,2026-03-16 10:25:00,PM,15.6
WO001087,M17A,2026-06-15 09:59:00,corrective,42.0
WO001088,M09A,2026-04-10 08:38:00,PM,26.0
WO001089,M14B,2026-07-20 19:43:00,PM,63.5
WO001090,M04B,2026-03-19 04:58:00,corrective,29.0
WO001091,M28A,2026-05-24 13:34:00,calibration,8.9
WO001092,M01B,2026-10-23 05:11:00,corrective,93.7
WO001093,M02B,2026-07-22 09:42:00,PM,47.0
WO001094,M02A,2026-05-26 14:31:00,corrective,46.6
WO001095,M23B,2026-04-24 01:02:00,inspection,77.9
WO001096,M17B,2026-01-20 03:37:00,corrective,45.3
WO001097,M14B,2026-07-30 09:26:00,PM,58.1
WO001098,M13B,2026-10-21 02:05:00,PM,25.2
WO001099,M04B,2026-10-27 21:31:00,calibration,84.2
WO001100,M14B,2026-09-17 14:30:00,PM,26.4
WO001101,M12A,2026-08-05 05:20:00,corrective,59.3
WO001102,M02A,2026-07-05 00:55:00,corrective,62.7
WO001103,M02B,2026-04-26 16:55:00,PM,201.9
WO001104,M15A,2026-07-01 05:19:00,corrective,29.7
WO001105,M21A,2026-06-03 14:17:00,PM,67.4
WO001106,M21A,2026-09-07 13:10:00,corrective,82.0
WO001107,M26B,2026-06-18 10:00:00,calibration,39.0
WO001108,M28A,2026-01-11 23:40:00,corrective,153.8
WO001109,M24B,2026-07-09 03:38:00,inspection,18.8
WO001110,M19A,2026-08-17 18:03:00,PM,82.0
WO001111,M06B,2026-07-18 15:23:00,calibration,28.6
WO001112,M12A,2026-07-14 10:25:00,PM,117.7
WO001113,M03A,2026-07-28 19:28:00,PM,25.6
WO001114,M16B,2026-03-10 05:52:00,inspection,36.6
WO001115,M02A,2026-10-09 23:10:00,PM,146.1
WO001116,M25B,2026-01-03 23:23:00,PM,65.5
WO001117,M19A,2026-06-20 15:53:00,PM,139.0
WO001118,M13A,2026-10-11 01:27:00,PM,11.9
WO001119,M13B,2026-06-09 19:15:00,calibration,65.3
WO001120,M05A,2026-10-17 07:58:00,PM,37.4
WO001121,M18B,2026-08-04 18:16:00,PM,95.9
WO001122,M03B,2026-07-04 10:23:00,PM,49.3
WO001123,M16B,2026-09-23 08:03:00,corrective,45.8
WO001124,M11B,2026-02-27 08:05:00,corrective,43.9
WO001125,M06A,2026-10-03 13:41:00,inspection,15.8
WO001126,M06B,2026-08-11 20:36:00,inspection,28.2
WO001127,M10B,2026-06-11 11:29:00,PM,27.7
WO001128,M08A,2026-07-12 16:14:00,inspection,29.4
WO001129,M09A,2026-06-06 22:40:00,PM,118.4
WO001130,M07B,2026-10-26 19:01:00,PM,70.6
WO001131,M18A,2026-08-09 17:16:00,calibration,10.3
WO001132,M19B,2026-08-18 12:43:00,PM,53.6
WO001133,M01A,2026-08-11 17:19:00,PM,52.8
WO001134,M15B,2026-01-25 12:13:00,PM,48.5
WO001135,M05B,2026-07-21 02:19:00,inspection,64.1
WO001136,M25B,2026-06-01 22:44:00,calibration,195.2
WO001137,M12B,2026-04-12 19:33:00,inspection,144.8
WO001138,M07A,2026-01-07 13:45:00,PM,38.9
WO001139,M11B,2026-10-10 23:08:00,corrective,74.0
WO001140,M08A,2026-10-13 21:05:00,inspection,50.4
WO001141,M13A,2026-06-22 19:52:00,corrective,36.0
WO001142,M08A,2026-04-26 04:20:00,corrective,131.7
WO001143,M11B,2026-09-07 19:39:00,inspection,12.3
WO001144,M26A,2026-03-12 20:55:00,corrective,51.0
WO001145,M17B,2026-05-11 14:44:00,PM,14.3
WO001146,M04B,2026-05-29 08:09:00,inspection,32.7
WO001147,M14B,2026-01-17 17:37:00,PM,44.9
WO001148,M13B,2026-03-09 20:01:00,PM,93.7
WO001149,M11A,2026-01-11 08:57:00,inspection,6.8
WO001150,M03A,2026-03-27 18:41:00,PM,42.5
WO001151,M10B,2026-06-23 22:13:00,corrective,113.7
WO001152,M12B,2026-02-18 02:46:00,PM,117.2
WO001153,M22B,2026-04-22 23:04:00,calibration,15.7
WO001154,M04B,2026-03-02 04:02:00,inspection,94.7
WO001155,M27A,2026-05-06 22:13:00,calibration,30.6
WO001156,M06B,2026-05-28 08:16:00,PM,41.5
WO001157,M18B,2026-09-29 06:59:00,PM,115.3
WO001158,M07A,2026-10-05 00:10:00,calibration,105.0
WO001159,M01A,2026-07-12 23:38:00,inspection,83.1
WO001160,M10B,2026-04-15 06:50:00,corrective,49.1
WO001161,M11B,2026-10-23 00:00:00,calibration,129.2
WO001162,M18A,2026-08-25 16:05:00,corrective,19.8
WO001163,M18A,2026-10-07 13:45:00,PM,72.2
WO001164,M13B,2026-03-20 10:01:00,PM,8.8
WO001165,M23B,2026-02-24 14:05:00,PM,5.0
WO001166,M10A,2026-07-05 09:37:00,PM,55.4
WO001167,M06B,2026-01-19 05:10:00,PM,73.7
WO001168,M09A,2026-09-13 10:02:00,PM,70.9
WO001169,M17A,2026-10-22 21:57:00,corrective,26.5
WO001170,M13A,2026-08-01 06:44:00,PM,47.1
WO001171,M16A,2026-04-21 09:48:00,inspection,48.0
WO001172,M16A,2026-10-08 21:35:00,PM,25.7
WO001173,M12A,2026-03-31 18:53:00,calibration,23.9
WO001174,M16A,2026-03-18 15:14:00,PM,61.3
WO001175,M24A,2026-07-26 01:40:00,corrective,46.2
WO001176,M22B,2026-04-17 11:53:00,calibration,16.7
WO001177,M25A,2026-06-07 20:11:00,PM,57.0
WO001178,M06A,2026-06-28 06:36:00,inspection,108.5
WO001179,M22B,2026-10-05 06:50:00,PM,36.2
WO001180,M27B,2026-08-09 06:23:00,PM,53.9
WO001181,M23A,2026-06-01 11:08:00,PM,63.4
WO001182,M22B,2026-03-17 20:28:00,PM,52.9
WO001183,M05A,2026-10-25 01:13:00,PM,91.4
WO001184,M24B,2026-10-05 14:47:00,PM,70.1
WO001185,M02A,2026-03-01 12:19:00,inspection,51.6
WO001186,M26B,2026-09-27 08:57:00,PM,48.0
WO001187,M26B,2026-01-31 11:18:00,PM,60.0
WO001188,M13A,2026-08-26 03:59:00,PM,44.6
WO001189,M08B,2026-03-18 01:24:00,calibration,58.2
WO001190,M10B,2026-03-03 03:53:00,PM,78.8
WO001191,M24A,2026-09-18 03:23:00,PM,54.6
WO001192,M05B,2026-10-13 21:04:00,PM,73.0
WO001193,M27A,2026-05-31 10:42:00,PM,75.9
WO001194,M10A,2026-02-16 00:23:00,PM,32.7
WO001195,M06A,2026-10-23 22:18:00,PM,26.5
WO001196,M01B,2026-10-27 00:33:00,inspection,31.6
WO001197,M15A,2026-10-02 17:47:00,PM,70.9
WO001198,M17A,2026-10-26 02:23:00,corrective,147.3
WO001199,M10B,2026-02-06 02:52:00,corrective,41.9
WO001200,M08B,2026-04-25 12:35:00,corrective,92.6
WO001201,M27A,2026-04-16 09:51:00,corrective,48.6
WO001202,M20A,2026-07-10 10:17:00,calibration,7.8
WO001203,M04A,2026-05-24 08:58:00,calibration,61.1
WO001204,M11A,2026-02-25 18:31:00,inspection,184.9
WO001205,M02B,2026-05-20 02:40:00,PM,23.9
WO001206,M24A,2026-08-23 07:26:00,corrective,229.8
WO001207,M10A,2026-07-03 07:15:00,corrective,46.2
WO001208,M01B,2026-06-14 06:52:00,inspection,24.3
WO001209,M05B,2026-01-20 23:49:00,calibration,45.5
WO001210,M05A,2026-01-14 08:16:00,PM,120.2
WO001211,M20A,2026-06-10 08:18:00,inspection,60.9
WO001212,M18A,2026-06-29 21:10:00,inspection,14.8
WO001213,M18B,2026-10-20 11:19:00,calibration,26.7
WO001214,M27A,2026-06-17 15:41:00,PM,100.0
WO001215,M13B,2026-10-26 07:26:00,corrective,35.6
WO001216,M04B,2026-07-06 16:44:00,calibration,12.9
WO001217,M14B,2026-03-10 05:34:00,PM,50.7
WO001218,M03B,2026-04-10 00:51:00,corrective,70.2
WO001219,M09A,2026-05-03 06:05:00,PM,55.8
WO001220,M08A,2026-07-17 22:50:00,PM,22.3
WO001221,M06A,2026-06-26 23:03:00,corrective,87.7
WO001222,M28B,2026-03-17 07:24:00,PM,167.8
WO001223,M13A,2026-10-22 06:10:00,corrective,25.7
WO001224,M02A,2026-01-18 21:32:00,PM,35.4
WO001225,M15B,2026-09-16 08:34:00,PM,34.6
WO001226,M16A,2026-03-29 02:55:00,calibration,83.0
WO001227,M05A,2026-09-23 06:44:00,PM,45.7
WO001228,M10A,2026-09-23 20:01:00,corrective,52.3
WO001229,M02B,2026-06-11 19:47:00,inspection,111.5
WO001230,M19A,2026-10-14 01:39:00,PM,98.8
WO001231,M19B,2026-07-05 04:25:00,inspection,132.0
WO001232,M07A,2026-04-13 09:17:00,corrective,66.7
WO001233,M11B,2026-08-03 21:31:00,corrective,49.1
WO001234,M24B,2026-01-17 17:02:00,PM,89.0
WO001235,M17A,2026-09-21 13:47:00,PM,25.5
WO001236,M11A,2026-04-06 01:47:00,PM,107.0
WO001237,M10B,2026-09-02 13:24:00,corrective,93.3
WO001238,M11A,2026-02-06 06:53:00,corrective,112.4
WO001239,M08A,2026-03-15 05:08:00,PM,117.5
WO001240,M23A,2026-01-06 02:05:00,calibration,18.5
WO001241,M19B,2026-03-14 20:30:00,PM,17.3
WO001242,M01A,2026-01-28 22:51:00,PM,50.8
WO001243,M05A,2026-01-17 17:27:00,PM,86.4
WO001244,M17A,2026-02-04 14:25:00,PM,48.6
WO001245,M05B,2026-02-02 03:12:00,corrective,38.9
WO001246,M19B,2026-09-08 22:14:00,corrective,26.1
WO001247,M21A,2026-03-22 21:59:00,inspection,63.1
WO001248,M20A,2026-08-18 04:28:00,PM,7.8
WO001249,M12B,2026-07-26 23:12:00,PM,31.5
WO001250,M18A,2026-03-15 07:24:00,calibration,85.8
WO001251,M25B,2026-01-09 09:33:00,inspection,46.7
WO001252,M06B,2026-06-21 09:53:00,calibration,33.8
WO001253,M08A,2026-08-12 23:50:00,PM,154.6
WO001254,M21A,2026-06-03 06:54:00,inspection,29.9
WO001255,M13A,2026-07-06 10:39:00,corrective,17.8
WO001256,M25B,2026-09-12 06:53:00,PM,17.0
WO001257,M18B,2026-04-16 19:15:00,PM,69.4
WO001258,M06A,2026-02-09 08:37:00,PM,64.3
WO001259,M08B,2026-03-04 02:07:00,PM,33.1
WO001260,M17B,2026-08-22 23:13:00,PM,21.6
WO001261,M04B,2026-04-06 18:37:00,inspection,29.1
WO001262,M07A,2026-05-18 22:07:00,PM,67.3
WO001263,M03B,2026-05-05 07:22:00,corrective,17.0
WO001264,M13B,2026-08-23 15:35:00,corrective,83.1
WO001265,M27B,2026-04-29 00:13:00,PM,103.8
WO001266,M08B,2026-03-03 02:30:00,corrective,25.8
WO001267,M06B,2026-10-21 08:59:00,PM,90.8
WO001268,M05A,2026-04-07 19:56:00,inspection,56.0
WO001269,M15A,2026-01-22 13:34:00,PM,30.6
WO001270,M26A,2026-06-24 23:47:00,corrective,15.1
WO001271,M11A,2026-05-10 10:44:00,corrective,43.4
WO001272,M14A,2026-03-17 19:57:00,inspection,22.3
WO001273,M04B,2026-10-07 20:52:00,PM,21.7
WO001274,M15A,2026-09-23 19:53:00,inspection,91.9
WO001275,M08B,2026-02-17 05:48:00,corrective,41.9
WO001276,M24A,2026-06-23 10:47:00,PM,70.9
WO001277,M01A,2026-07-06 06:20:00,corrective,49.5
WO001278,M18A,2026-04-23 21:21:00,PM,87.4
WO001279,M11B,2026-05-10 16:15:00,calibration,63.6
WO001280,M10A,2026-07-30 16:46:00,PM,47.5
WO001281,M25A,2026-01-12 08:10:00,PM,46.6
WO001282,M06A,2026-02-11 09:35:00,corrective,92.7
WO001283,M07A,2026-07-25 22:20:00,PM,38.6
WO001284,M09B,2026-01-21 15:28:00,calibration,109.3
WO001285,M08B,2026-08-05 23:00:00,PM,84.6
WO001286,M05A,2026-09-22 03:56:00,calibration,133.3
WO001287,M28A,2026-09-14 02:13:00,PM,44.5
WO001288,M05B,2026-05-04 08:42:00,PM,47.7
WO001289,M27A,2026-03-02 14:49:00,PM,71.6
WO001290,M05A,2026-02-23 04:43:00,PM,97.9
WO001291,M25A,2026-02-27 11:49:00,PM,29.0
WO001292,M04B,2026-04-27 22:49:00,corrective,36.1
WO001293,M02B,2026-07-01 09:05:00,PM,46.1
WO001294,M07A,2026-02-05 22:51:00,PM,53.0
WO001295,M17B,2026-08-05 06:54:00,calibration,39.9
WO001296,M23B,2026-08-22 01:15:00,corrective,32.9
WO001297,M01A,2026-02-01 00:45:00,inspection,95.5
WO001298,M02A,2026-05-03 09:10:00,PM,26.6
WO001299,M07B,2026-01-03 01:25:00,PM,71.2
WO001300,M14B,2026-04-05 08:50:00,PM,19.3
WO001301,M12A,2026-05-11 18:43:00,corrective,30.0
WO001302,M11A,2026-01-02 11:02:00,PM,56.0
WO001303,M26B,2026-10-15 20:19:00,PM,89.7
WO001304,M21B,2026-02-20 02:34:00,inspection,71.5
WO001305,M04A,2026-03-25 18:58:00,PM,174.0
WO001306,M21A,2026-06-13 04:30:00,calibration,23.3
WO001307,M06A,2026-04-10 03:06:00,PM,19.3
WO001308,M20A,2026-10-26 22:30:00,PM,158.2
WO001309,M19A,2026-03-31 15:56:00,PM,21.1
WO001310,M09B,2026-05-10 00:16:00,inspection,15.6
WO001311,M27A,2026-09-07 02:44:00,calibration,71.8
WO001312,M25A,2026-01-16 12:35:00,PM,39.3
WO001313,M24B,2026-02-05 02:57:00,inspection,39.7
WO001314,M28A,2026-09-01 15:38:00,PM,48.6
WO001315,M01B,2026-06-10 08:07:00,PM,97.1
WO001316,M01B,2026-01-17 21:46:00,corrective,19.2
WO001317,M04A,2026-06-29 17:23:00,PM,78.2
WO001318,M14B,2026-02-18 20:13:00,PM,98.7
WO001319,M01B,2026-09-20 21:43:00,inspection,66.2
WO001320,M16B,2026-08-23 06:13:00,corrective,81.8
WO001321,M28B,2026-04-28 23:35:00,PM,24.5
WO001322,M18B,2026-02-02 12:28:00,inspection,48.2
WO001323,M18B,2026-04-25 10:02:00,PM,101.1
WO001324,M19A,2026-02-01 13:59:00,calibration,30.7
WO001325,M06A,2026-02-25 00:09:00,inspection,93.3
WO001326,M21B,2026-10-14 17:05:00,PM,79.8
WO001327,M07B,2026-07-21 12:41:00,inspection,42.4
WO001328,M08A,2026-06-13 07:14:00,corrective,16.8
WO001329,M25A,2026-02-06 01:07:00,PM,58.5
WO001330,M19B,2026-09-08 22:27:00,inspection,253.9
WO001331,M21B,2026-10-06 07:11:00,corrective,41.8
WO001332,M11B,2026-04-16 21:49:00,PM,53.4
WO001333,M16B,2026-04-06 08:36:00,PM,135.4
WO001334,M17A,2026-03-13 18:27:00,PM,61.1
WO001335,M01A,2026-10-13 17:35:00,inspection,54.4
WO001336,M08B,2026-01-02 11:43:00,PM,51.1
WO001337,M08B,2026-09-16 01:04:00,PM,76.1
WO001338,M02B,2026-08-28 02:34:00,corrective,17.0
WO001339,M23B,2026-02-19 00:06:00,calibration,149.2
WO001340,M17B,2026-05-01 21:22:00,inspection,51.2
WO001341,M03A,2026-04-29 13:16:00,corrective,9.0
WO001342,M12B,2026-07-03 14:39:00,PM,23.7
WO001343,M06B,2026-09-26 04:32:00,PM,59.9
WO001344,M14A,2026-07-08 17:16:00,PM,8.9
WO001345,M07B,2026-07-29 13:22:00,PM,114.0
WO001346,M18A,2026-02-06 19:26:00,calibration,127.6
WO001347,M06B,2026-01-17 21:14:00,PM,64.9
WO001348,M19A,2026-07-04 19:11:00,PM,19.9
WO001349,M02B,2026-01-08 00:16:00,PM,62.7
WO001350,M02B,2026-10-10 05:30:00,PM,238.5
WO001351,M07B,2026-07-27 08:45:00,corrective,19.8
WO001352,M22B,2026-09-22 23:53:00,PM,38.4
WO001353,M15A,2026-06-02 05:49:00,PM,73.0
WO001354,M26B,2026-10-14 02:01:00,PM,123.8
WO001355,M20B,2026-03-13 17:18:00,inspection,48.5
WO001356,M26A,2026-04-11 01:38:00,corrective,47.7
WO001357,M07A,2026-06-27 23:32:00,calibration,134.8
WO001358,M27B,2026-07-23 03:33:00,PM,174.7
WO001359,M02A,2026-09-14 10:17:00,corrective,97.6
WO001360,M22A,2026-05-04 06:17:00,PM,54.4
WO001361,M23A,2026-08-20 15:18:00,PM,64.1
WO001362,M02B,2026-07-08 15:22:00,PM,57.7
WO001363,M22A,2026-06-25 10:45:00,PM,87.7
WO001364,M07A,2026-04-17 04:05:00,corrective,40.5
WO001365,M06A,2026-04-25 01:51:00,PM,76.0
WO001366,M19B,2026-01-11 07:46:00,inspection,149.4
WO001367,M05B,2026-10-22 12:10:00,calibration,43.3
WO001368,M03B,2026-05-21 16:07:00,PM,113.0
WO001369,M17B,2026-07-02 02:50:00,PM,58.0
WO001370,M22A,2026-08-30 20:54:00,calibration,10.3
WO001371,M21B,2026-09-26 23:04:00,PM,18.1
WO001372,M23B,2026-06-15 17:32:00,calibration,30.1
WO001373,M04A,2026-06-24 03:32:00,PM,62.8
WO001374,M05A,2026-01-20 15:13:00,PM,81.1
WO001375,M05B,2026-09-25 17:25:00,PM,7.6
WO001376,M12A,2026-01-30 19:16:00,PM,65.0
WO001377,M03A,2026-08-20 13:48:00,PM,43.3
WO001378,M11B,2026-04-26 15:16:00,corrective,57.5
WO001379,M07A,2026-09-26 02:52:00,PM,56.0
WO001380,M28A,2026-04-27 15:51:00,PM,97.4
WO001381,M04A,2026-09-02 07:41:00,calibration,55.8
WO001382,M03B,2026-04-09 21:36:00,PM,69.7
WO001383,M20A,2026-10-05 09:31:00,calibration,126.1
WO001384,M25B,2026-05-27 03:08:00,corrective,46.5
WO001385,M20A,2026-05-20 13:16:00,PM,53.8
WO001386,M04A,2026-10-10 23:19:00,calibration,28.7
WO001387,M03B,2026-08-29 22:05:00,PM,77.9
WO001388,M21A,2026-01-22 16:53:00,corrective,148.4
WO001389,M20B,2026-02-01 02:15:00,PM,41.4
WO001390,M23B,2026-09-22 09:11:00,PM,235.7
WO001391,M06A,2026-10-05 16:55:00,corrective,105.4
WO001392,M12A,2026-07-06 08:56:00,calibration,22.4
WO001393,M26B,2026-10-18 10:56:00,PM,46.4
WO001394,M12A,2026-09-23 13:02:00,PM,98.6
WO001395,M11B,2026-07-15 12:10:00,PM,40.9
WO001396,M23B,2026-09-03 13:22:00,calibration,85.9
WO001397,M11B,2026-01-05 17:46:00,inspection,72.6
WO001398,M25B,2026-08-06 17:40:00,inspection,44.1
WO001399,M23B,2026-04-13 11:22:00,PM,27.9
WO001400,M04B,2026-05-29 23:40:00,calibration,27.0
WO001401,M09B,2026-03-20 16:57:00,corrective,23.2
WO001402,M20A,2026-07-10 09:30:00,corrective,66.6
WO001403,M23A,2026-08-14 17:14:00,inspection,96.1
WO001404,M18B,2026-01-18 13:10:00,PM,37.4
WO001405,M24A,2026-01-24 01:37:00,PM,56.4
WO001406,M12B,2026-09-17 09:41:00,PM,39.5
WO001407,M19B,2026-02-01 07:10:00,calibration,71.5
WO001408,M13B,2026-06-14 01:26:00,PM,155.1
WO001409,M23A,2026-05-28 02:46:00,calibration,82.2
WO001410,M24A,2026-06-05 19:20:00,calibration,79.4
WO001411,M02A,2026-08-21 01:10:00,PM,81.1
WO001412,M11B,2026-06-18 09:08:00,PM,85.7
WO001413,M21A,2026-03-11 21:55:00,PM,30.4
WO001414,M26A,2026-09-28 22:31:00,inspection,57.6
WO001415,M21A,2026-01-13 15:40:00,inspection,123.5
WO001416,M02B,2026-04-08 22:03:00,corrective,112.0
WO001417,M28A,2026-05-07 06:08:00,inspection,122.7
WO001418,M07A,2026-06-27 18:41:00,PM,44.2
WO001419,M15A,2026-01-12 14:13:00,PM,5.0
WO001420,M14B,2026-10-27 02:19:00,PM,25.2
WO001421,M07B,2026-05-20 06:24:00,calibration,10.9
WO001422,M02B,2026-04-06 06:49:00,PM,68.3
WO001423,M19B,2026-08-23 21:50:00,calibration,68.9
WO001424,M22B,2026-10-25 02:00:00,inspection,67.4
WO001425,M08B,2026-02-12 09:45:00,PM,94.6
WO001426,M15A,2026-05-02 01:33:00,corrective,53.4
WO001427,M22B,2026-02-05 21:26:00,PM,47.5
WO001428,M08B,2026-03-31 17:49:00,corrective,30.6
WO001429,M20A,2026-08-31 10:22:00,PM,52.6
WO001430,M22B,2026-08-05 09:52:00,PM,10.8
WO001431,M11B,2026-08-27 14:35:00,PM,28.4
WO001432,M11A,2026-07-01 19:50:00,PM,100.5
WO001433,M08B,2026-10-07 12:45:00,PM,34.3
WO001434,M24A,2026-05-09 20:34:00,PM,22.3
WO001435,M06A,2026-07-17 03:03:00,PM,126.1
WO001436,M15A,2026-10-09 10:12:00,PM,5.0
WO001437,M15A,2026-07-27 03:04:00,corrective,132.3
WO001438,M02B,2026-01-11 13:00:00,PM,83.8
WO001439,M13A,2026-04-21 21:30:00,corrective,69.6
WO001440,M11B,2026-06-12 22:19:00,corrective,92.3
WO001441,M22B,2026-04-25 16:56:00,PM,20.2
WO001442,M06A,2026-06-05 09:39:00,corrective,62.8
WO001443,M28A,2026-03-04 15:04:00,calibration,114.7
WO001444,M11A,2026-03-06 19:43:00,PM,5.4
WO001445,M18A,2026-08-12 03:38:00,corrective,66.5
WO001446,M01B,2026-05-02 04:08:00,corrective,92.7
WO001447,M27A,2026-02-17 11:14:00,PM,25.1
WO001448,M24B,2026-08-26 18:09:00,corrective,40.6
WO001449,M19A,2026-01-20 17:33:00,inspection,29.6
WO001450,M28A,2026-07-01 07:48:00,PM,8.3
WO001451,M14B,2026-02-16 14:57:00,PM,226.7
WO001452,M26A,2026-06-27 06:36:00,PM,86.8
WO001453,M08B,2026-05-03 10:28:00,inspection,9.6
WO001454,M27B,2026-05-10 00:05:00,corrective,20.2
WO001455,M22A,2026-07-18 08:55:00,corrective,49.3
WO001456,M10A,2026-04-19 16:11:00,calibration,39.3
WO001457,M28A,2026-08-17 20:05:00,PM,22.6
WO001458,M06B,2026-05-11 21:18:00,corrective,67.1
WO001459,M27B,2026-10-08 04:53:00,corrective,51.6
WO001460,M27B,2026-10-23 00:05:00,corrective,35.0
WO001461,M24B,2026-02-27 16:42:00,calibration,70.2
WO001462,M16B,2026-09-11 09:38:00,calibration,59.4
WO001463,M23A,2026-09-28 15:52:00,PM,113.2
WO001464,M17A,2026-01-20 02:13:00,inspection,37.6
WO001465,M04B,2026-07-22 17:51:00,inspection,62.5
WO001466,M14A,2026-04-20 15:26:00,PM,34.4
WO001467,M04A,2026-01-03 00:40:00,PM,95.8
WO001468,M05B,2026-07-23 02:41:00,corrective,19.7
WO001469,M18A,2026-05-06 04:03:00,calibration,105.7
WO001470,M06B,2026-05-19 13:43:00,PM,33.3
WO001471,M28B,2026-09-09 09:53:00,PM,83.0
WO001472,M25B,2026-09-26 15:31:00,PM,88.5
WO001473,M22B,2026-02-23 05:33:00,inspection,53.0
WO001474,M05B,2026-03-31 10:32:00,PM,14.2
WO001475,M19B,2026-01-15 14:34:00,PM,65.1
WO001476,M16A,2026-05-22 17:56:00,calibration,199.2
WO001477,M11A,2026-03-20 01:48:00,PM,20.6
WO001478,M05A,2026-03-26 02:30:00,inspection,33.1
WO001479,M06B,2026-03-24 07:24:00,PM,54.7
WO001480,M06A,2026-03-28 06:44:00,inspection,60.3
